Series_reference,Period,Data_value,STATUS,UNITS,Magnitude,Series_title_1
100,2007.01,887.3,F,Dollars,6,Actual
101,2007.02,843.9,F,Dollars,6,Actual
102,2007.03,925.1,F,Dollars,6,Actual
103,2007.04,880,F,Dollars,6,Actual
104,2007.05,905.1,F,Dollars,6,Actual
105,2007.06,874.3,F,Dollars,6,Actual
106,2007.07,890.5,F,Dollars,6,Actual
107,2007.08,917.7,F,Dollars,6,Actual
108,2007.09,895.9,F,Dollars,6,Actual
109,2007.1,945.9,F,Dollars,6,Actual
110,2007.11,960.8,F,Dollars,6,Actual
111,2007.12,1102.2,F,Dollars,6,Actual
112,2008.01,959.2,F,Dollars,6,Actual
113,2008.02,924.5,F,Dollars,6,Actual
114,2008.03,988,F,Dollars,6,Actual
115,2008.04,922.8,F,Dollars,6,Actual
116,2008.05,960.5,F,Dollars,6,Actual
117,2008.06,904,F,Dollars,6,Actual
118,2008.07,942.7,F,Dollars,6,Actual
119,2008.08,981,F,Dollars,6,Actual
120,2008.09,958.3,F,Dollars,6,Actual
121,2008.1,1032.2,F,Dollars,6,Actual
122,2008.11,1039.9,F,Dollars,6,Actual
123,2008.12,1180.5,F,Dollars,6,Actual
124,2009.01,1046.5,F,Dollars,6,Actual
125,2009.02,962,F,Dollars,6,Actual
126,2009.03,1041.7,F,Dollars,6,Actual
127,2009.04,1024.6,F,Dollars,6,Actual
128,2009.05,1046.4,F,Dollars,6,Actual
129,2009.06,996.9,F,Dollars,6,Actual
130,2009.07,1039,F,Dollars,6,Actual
131,2009.08,1053.1,F,Dollars,6,Actual
132,2009.09,1026.5,F,Dollars,6,Actual
133,2009.1,1090.1,F,Dollars,6,Actual
134,2009.11,1071.2,F,Dollars,6,Actual
135,2009.12,1255.4,F,Dollars,6,Actual
136,2010.01,1077.9,F,Dollars,6,Actual
137,2010.02,1005.3,F,Dollars,6,Actual
138,2010.03,1106.4,F,Dollars,6,Actual
139,2010.04,1045.1,F,Dollars,6,Actual
140,2010.05,1072.7,F,Dollars,6,Actual
141,2010.06,1029,F,Dollars,6,Actual
142,2010.07,1086.9,F,Dollars,6,Actual
